Z_slice,neuron_id,GlyT2_synapse_count,Gephyrin_synapse_count
70,22,0,0
70,23,0,0
70,24,83,14
70,25,0,0
70,26,0,0
70,27,0,0
70,28,0,0
70,29,0,0
71,1,53,43
71,2,0,0
71,3,46,3
71,4,0,0
71,5,85,59
71,6,67,33
71,7,153,85
71,8,22,3
71,9,0,0
71,10,0,0
71,11,0,0
71,12,0,0
71,13,1,7
71,14,0,0
71,15,26,5
71,16,0,0
71,17,0,0
71,18,0,0
71,19,0,0
71,20,0,0
71,21,0,0
71,22,0,0
71,23,0,0
71,24,0,0
71,25,0,0
72,1,51,31
72,2,34,73
72,3,0,0
72,4,0,0
72,5,53,3
72,6,98,127
72,7,81,16
72,8,0,0
72,9,100,93
72,10,147,87
72,11,31,4
72,12,0,0
72,13,0,0
72,14,0,0
72,15,0,0
72,16,138,121
72,17,0,0
72,18,0,0
72,19,5,9
72,20,20,56
72,21,1,1
72,22,20,2
72,23,66,61
72,24,20,26
72,25,0,0
72,26,0,0
72,27,0,0
72,28,0,0
72,29,0,0
72,30,0,0
72,31,0,0
72,32,0,0
72,33,0,0
72,34,0,0
72,35,0,0
73,1,39,14
73,2,23,10
73,3,0,0
73,4,22,66
73,5,0,0
73,6,8,19
73,7,0,0
73,8,83,1
73,9,97,133
73,10,0,0
73,11,42,3
73,12,0,0
73,13,92,109
73,14,2,2
73,15,0,0
73,16,0,0
73,17,0,0
73,18,1,2
73,19,20,1
73,20,32,48
73,21,10,30
73,22,0,0
73,23,0,0
73,24,0,0
73,25,0,0
73,26,10,86
73,27,0,0
73,28,0,0
73,29,0,0
73,30,0,0
73,31,0,0
74,1,0,0
74,2,0,0
74,3,0,0
74,4,31,18
74,5,27,43
74,6,30,19
74,7,0,0
74,8,0,0
74,9,95,0
74,10,80,101
74,11,29,55
74,12,14,0
74,13,74,93
74,14,0,0
74,15,0,0
74,16,0,0
74,17,53,4
74,18,0,0
74,19,0,0
74,20,0,0
74,21,17,88
74,22,0,0
74,23,30,7
74,24,25,56
74,25,0,0
74,26,0,0
74,27,0,0
74,28,0,0
74,29,2,10
74,30,6,21
74,31,0,0
74,32,10,90
74,33,0,0
74,34,0,0
74,35,0,0
74,36,0,0
75,1,0,0
75,2,0,10
75,3,0,0
75,4,38,15
75,5,0,0
75,6,37,37
75,7,0,0
75,8,0,0
75,9,102,1
75,10,91,106
75,11,19,0
75,12,65,100
75,13,0,0
75,14,0,0
75,15,74,4
75,16,0,0
75,17,0,0
75,18,11,0
75,19,17,103
75,20,0,0
75,21,0,1
75,22,15,23
75,23,17,17
75,24,0,0
75,25,0,0
75,26,0,0
75,27,6,84
75,28,0,0
75,29,0,0
75,30,0,0
75,31,0,0
75,32,0,0
75,33,0,0
75,34,0,0
76,1,0,0
76,2,0,0
76,3,0,0
76,4,4,0
76,5,36,1
76,6,0,18
76,7,28,2
76,8,7,13
76,9,11,40
76,10,0,0
76,11,0,0
76,12,0,0
76,13,93,143
76,14,102,3
76,15,0,0
76,16,22,0
76,17,116,153
76,18,229,61
76,19,0,0
76,20,0,0
76,21,87,2
76,22,0,0
76,23,9,1
76,24,10,67
76,25,13,48
76,26,0,0
76,27,27,74
76,28,4,57
76,29,0,0
76,30,0,0
76,31,1,0
76,32,0,0
76,33,0,0
76,34,0,0
76,35,4,81
76,36,0,0
76,37,0,15
76,38,0,0
76,39,0,0
76,40,0,0
76,41,0,0
77,1,0,0
77,2,0,0
77,3,0,0
77,4,0,0
77,5,0,0
77,6,0,0
77,7,6,0
77,8,1,22
77,9,52,1
77,10,10,9
77,11,7,48
77,12,0,0
77,13,0,0
77,14,77,51
77,15,0,0
77,16,47,95
77,17,95,4
77,18,0,0
77,19,0,0
77,20,0,0
77,21,107,157
77,22,0,0
77,23,78,2
77,24,0,0
77,25,0,0
77,26,5,0
77,27,0,0
77,28,235,154
77,29,0,0
77,30,0,0
77,31,0,0
77,32,0,0
77,33,5,46
77,34,2,4
77,35,0,0
77,36,0,0
77,37,1,20
77,38,0,0
77,39,0,0
77,40,0,0
77,41,0,0
77,42,0,0
77,43,0,0
78,1,0,0
78,2,0,0
78,3,0,0
78,4,0,0
78,5,0,0
78,6,0,0
78,7,0,0
78,8,10,0
78,9,3,0
78,10,2,13
78,11,3,0
78,12,98,1
78,13,14,7
78,14,4,0
78,15,2,52
78,16,0,0
78,17,0,0
78,18,0,0
78,19,0,0
78,20,0,0
78,21,0,0
78,22,0,0
78,23,65,3
78,24,0,0
78,25,0,0
78,26,0,0
78,27,0,0
78,28,0,0
78,29,0,0
78,30,0,0
78,31,0,0
78,32,3,55
78,33,0,0
78,34,9,20
78,35,0,0
78,36,1,19
78,37,0,0
78,38,0,0
79,1,0,0
