Z_slice,Number_of_neurons,GlyT2_mean,GlyT2_median,GlyT2_total,Gephyrin_mean,Gephyrin_median,Gephyrin_total
379,110,2.855,0.0,314,16.509,0.0,1816
380,121,3.694,0.0,447,14.083,0.0,1704
381,126,3.849,0.0,485,13.016,0.0,1640
382,142,7.289,0.0,1035,14.437,0.0,2050
383,144,7.847,0.0,1130,12.278,0.0,1768
384,119,5.782,0.0,688,14.429,0.0,1717
385,128,9.414,0.0,1205,19.156,0.0,2452
386,117,0.513,0.0,60,13.342,0.0,1561
387,132,1.515,0.0,200,11.515,0.0,1520
388,134,2.858,0.0,383,16.978,0.0,2275
389,147,5.565,0.0,818,15.558,0.0,2287
390,138,5.804,0.0,801,17.63,0.0,2433
391,155,4.394,0.0,681,13.684,0.0,2121
392,137,4.182,0.0,573,14.394,0.0,1972
393,120,8.333,0.0,1000,19.567,0.0,2348
394,104,6.538,0.0,680,16.702,0.0,1737
395,131,11.695,0.0,1532,18.397,0.0,2410
396,140,11.536,0.0,1615,14.243,0.0,1994
397,132,8.924,0.0,1178,16.386,0.0,2163
398,143,9.699,0.0,1387,13.182,0.0,1885
399,138,7.464,0.0,1030,19.986,0.0,2758
400,145,3.345,0.0,485,12.648,0.0,1834
401,133,0.489,0.0,65,17.714,0.0,2356
402,116,3.828,0.0,444,18.603,0.0,2158
403,116,3.138,0.0,364,16.284,0.0,1889
404,103,1.097,0.0,113,14.136,0.0,1456
405,111,7.414,0.0,823,14.559,0.0,1616
406,112,7.598,0.0,851,16.0,0.0,1792
407,118,5.068,0.0,598,16.203,0.0,1912
408,100,0.35,0.0,35,16.14,0.0,1614
409,109,9.138,0.0,996,21.945,0.0,2392
410,98,0.449,0.0,44,16.327,0.0,1600
411,100,1.45,0.0,145,17.43,0.0,1743
412,137,1.182,0.0,162,12.161,0.0,1666
413,123,0.545,0.0,67,14.146,0.0,1740
414,90,4.811,0.0,433,17.211,0.0,1549
415,105,6.962,0.0,731,18.105,0.0,1901
416,88,7.136,0.0,628,17.534,0.0,1543
417,88,5.557,0.0,489,17.966,0.0,1581
418,90,6.011,0.0,541,19.511,0.0,1756
419,86,7.36,0.0,633,22.826,0.0,1963
420,86,9.988,0.0,859,18.628,0.0,1602
421,74,1.324,0.0,98,16.162,0.0,1196
422,69,1.783,0.0,123,19.739,0.0,1362
423,69,5.232,0.0,361,16.275,0.0,1123
424,81,4.568,0.0,370,14.235,0.0,1153
425,74,2.135,0.0,158,12.797,0.0,947
426,85,8.424,0.0,716,17.953,0.0,1526
427,64,13.688,0.0,876,28.188,0.0,1804
428,57,1.105,0.0,63,25.526,0.0,1455
429,59,5.729,0.0,338,21.525,0.0,1270
430,76,17.658,0.0,1342,31.158,0.0,2368
431,91,10.824,0.0,985,22.374,0.0,2036
432,72,9.625,0.0,693,34.569,0.0,2489
433,74,4.649,0.0,344,30.095,0.0,2227
434,79,6.633,0.0,524,31.557,0.0,2493
435,73,11.534,0.0,842,34.452,0.0,2515
436,85,8.824,0.0,750,35.271,0.0,2998
437,69,4.072,0.0,281,27.377,0.0,1889
438,71,7.732,0.0,549,27.563,0.0,1957
439,78,3.141,0.0,245,26.051,0.0,2032
440,86,2.814,0.0,242,28.814,0.0,2478
441,71,3.887,0.0,276,33.38,0.0,2370
442,64,4.688,0.0,300,37.234,0.0,2383
443,69,5.174,0.0,357,29.072,0.0,2006
444,74,3.662,0.0,271,39.176,0.0,2899
445,73,8.589,0.0,627,33.767,0.0,2465
446,65,10.723,0.0,697,34.969,0.0,2273
447,72,11.514,0.0,829,18.583,0.0,1338
448,81,10.049,0.0,814,24.531,0.0,1987
449,97,4.536,0.0,440,23.66,0.0,2295
450,98,8.551,0.0,838,21.959,0.0,2152
451,85,7.024,0.0,597,26.565,0.0,2258
452,81,3.852,0.0,312,27.136,0.0,2198
453,65,3.308,0.0,215,26.538,0.0,1725
454,68,1.765,0.0,120,31.294,0.0,2128
455,80,3.95,0.0,316,23.388,0.0,1871
456,81,1.815,0.0,147,28.123,0.0,2278
457,75,4.067,0.0,305,25.133,0.0,1885
458,67,7.104,0.0,476,18.836,0.0,1262
459,68,9.103,0.0,619,27.765,0.0,1888
460,55,6.055,0.0,333,31.509,0.0,1733
461,53,3.774,0.0,200,39.151,0.0,2075
462,77,6.338,0.0,488,34.844,0.0,2683
463,85,4.447,0.0,378,42.506,3.0,3613
464,80,4.9,0.0,392,42.9,6.0,3432
465,89,5.303,0.0,472,42.472,0.0,3780
466,115,6.113,0.0,703,32.035,0.0,3684
467,79,5.772,0.0,456,38.747,0.0,3061
468,87,4.736,0.0,412,33.264,0.0,2894
469,95,3.916,0.0,372,25.642,0.0,2436
470,82,5.805,0.0,476,30.159,0.0,2473
471,104,3.76,0.0,391,33.683,0.0,3503
472,97,5.021,0.0,487,38.175,0.0,3703
473,119,4.303,0.0,512,33.319,0.0,3965
474,120,5.958,0.0,715,38.008,2.5,4561
